FREQ,FREQ_LABEL,REF_AREA,REF_AREA_LABEL,INDICATOR,INDICATOR_LABEL,SEX,SEX_LABEL,UNIT_MEASURE,UNIT_MEASURE_LABEL,DATABASE_ID,DATABASE_ID_LABEL,UNIT_MULT,UNIT_MULT_LABEL,OBS_STATUS,OBS_STATUS_LABEL,OBS_CONF,OBS_CONF_LABEL,2014,2017,2021,2022
A,Annual,BLR,Belarus,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),_T,Total,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,66.39,78.65,,
A,Annual,BLZ,Belize,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),F,Female,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,31.7,,,
A,Annual,BLZ,Belize,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),M,Male,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,24.53,,,
A,Annual,BLZ,Belize,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),_T,Total,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,28.14,,,
A,Annual,BOL,Bolivia,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),F,Female,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,24.18,36.29,47.6,
A,Annual,BOL,Bolivia,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),M,Male,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,32.99,43.94,62.69,
A,Annual,BOL,Bolivia,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),_T,Total,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,28.47,40.02,55.45,
A,Annual,BRA,Brazil,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),F,Female,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,55.01,57.27,72.57,
A,Annual,BRA,Brazil,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),M,Male,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,63.22,58.51,80.27,
A,Annual,BRA,Brazil,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),_T,Total,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,58.99,57.86,76.52,
A,Annual,BTN,Bhutan,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),F,Female,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,12.81,,,
A,Annual,BTN,Bhutan,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),M,Male,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,21.16,,,
A,Annual,BTN,Bhutan,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),_T,Total,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,17.23,,,
A,Annual,BWA,Botswana,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),F,Female,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,42.44,38.72,,46.93
A,Annual,BWA,Botswana,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),M,Male,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,49.49,45.58,,57.25
A,Annual,BWA,Botswana,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),_T,Total,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,45.94,41.81,,51.78
A,Annual,CAF,Central African Republic,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),F,Female,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,,6.15,,
A,Annual,CAF,Central African Republic,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),M,Male,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,,12.6,,
A,Annual,CAF,Central African Republic,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),_T,Total,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,,9.26,,
A,Annual,CAN,Canada,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),F,Female,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,98.26,97.23,98.36,
A,Annual,CAN,Canada,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),M,Male,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,95.52,98.52,98.34,
A,Annual,CAN,Canada,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),_T,Total,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,96.94,97.85,98.35,
A,Annual,CHE,Switzerland,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),F,Female,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,90.07,96.47,98.03,
A,Annual,CHE,Switzerland,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),M,Male,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,95.68,96.43,98.41,
A,Annual,CHE,Switzerland,WB_GS_G20_T,Made or received digital payments in the past year (% age 15+),_T,Total,PT,Percentage,WB_GS,Gender Statistics,0,Units,A,Normal value,PU,Public,92.79,96.45,98.22,
